GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
1062,47016498.0,396837.0,18.153,0.153,42.323033,-72.701789
1063,100502.0,0.0,0.039,0.0,42.318882,-72.63853
1066,1842125.0,117510.0,0.711,0.045,42.406909,-72.655015
1068,53925827.0,1033076.0,20.821,0.399,42.350862,-72.044248
1069,72720237.0,751921.0,28.077,0.29,42.188862,-72.30648
1070,53343558.0,596478.0,20.596,0.23,42.518446,-72.919017
1071,40311508.0,814201.0,15.564,0.314,42.160064,-72.87384
1072,51988078.0,1360921.0,20.073,0.525,42.456968,-72.417244
1073,72914120.0,2084351.0,28.152,0.805,42.226949,-72.741588
1074,220751.0,52379.0,0.085,0.02,42.387603,-72.09323
1075,45886333.0,1773572.0,17.717,0.685,42.256208,-72.58103
1077,79829512.0,2141671.0,30.822,0.827,42.05257,-72.777353
1079,2928117.0,101938.0,1.131,0.039,42.194344,-72.328868
1080,4472228.0,256694.0,1.727,0.099,42.185727,-72.361558
1081,37594969.0,564877.0,14.515,0.218,42.061313,-72.234411
1082,119451476.0,16197982.0,46.12,6.254,42.293533,-72.278599
1083,40799098.0,156565.0,15.753,0.06,42.203642,-72.194599
1084,23799816.0,221546.0,9.189,0.086,42.39237,-72.882235
1085,154634290.0,2962351.0,59.705,1.144,42.153503,-72.771602
1086,96152.0,0.0,0.037,0.0,42.130446,-72.793967
1088,13457389.0,36980.0,5.196,0.014,42.391709,-72.646494
1089,43321909.0,2076137.0,16.727,0.802,42.125451,-72.649734
1092,17375639.0,80681.0,6.709,0.031,42.191868,-72.235108
1093,13060370.0,16677.0,5.043,0.006,42.441943,-72.661817
1094,2957301.0,172820.0,1.142,0.067,42.359108,-72.1368
1095,58261400.0,746635.0,22.495,0.288,42.138499,-72.420715
1096,82011336.0,533919.0,31.665,0.206,42.397138,-72.763554
1097,4852535.0,208842.0,1.874,0.081,42.178038,-72.832612
1098,81230325.0,385282.0,31.363,0.149,42.394315,-72.943115
1103,1191846.0,205067.0,0.46,0.079,42.104106,-72.592027
1104,13509672.0,212850.0,5.216,0.082,42.134009,-72.565378
1105,3219039.0,306963.0,1.243,0.119,42.099958,-72.580765
1106,24016632.0,1344937.0,9.273,0.519,42.047565,-72.57113
1107,3903488.0,89142.0,1.507,0.034,42.12106,-72.607068
1108,9648043.0,406406.0,3.725,0.157,42.080692,-72.560791
1109,14094962.0,487888.0,5.442,0.188,42.119674,-72.549726
1118,9312234.0,260881.0,3.595,0.101,42.094194,-72.525081
1119,9194299.0,241735.0,3.55,0.093,42.124978,-72.51121
1128,2887382.0,1287.0,1.115,0.0,42.092296,-72.489135
1129,8875270.0,237886.0,3.427,0.092,42.118671,-72.488203
1151,6135193.0,479252.0,2.369,0.185,42.15186,-72.509131
1199,28277.0,0.0,0.011,0.0,42.120563,-72.604468
1201,137100028.0,6754457.0,52.935,2.608,42.448236,-73.273727
1220,63690793.0,189771.0,24.591,0.073,42.623799,-73.116736
1222,8566364.0,332862.0,3.307,0.129,42.058703,-73.322175
1223,180705971.0,5297500.0,69.771,2.045,42.312225,-73.110124
1224,720507.0,82246.0,0.278,0.032,42.513163,-73.195743
1225,65032902.0,1827513.0,25.109,0.706,42.563401,-73.153335
1226,68283556.0,366482.0,26.364,0.141,42.481119,-73.135073
1229,1897309.0,1745.0,0.733,0.001,42.276338,-73.335896
1230,237030361.0,4523580.0,91.518,1.747,42.173195,-73.32429
1235,118234582.0,2794600.0,45.651,1.079,42.425677,-73.063028
1236,12442176.0,157973.0,4.804,0.061,42.266496,-73.378393
1237,160145850.0,1132956.0,61.833,0.437,42.547818,-73.268033
1238,90221001.0,2706102.0,34.835,1.045,42.297501,-73.230148
1240,55363291.0,1159119.0,21.376,0.448,42.367858,-73.269763
1242,1289553.0,25165.0,0.498,0.01,42.333734,-73.249199
1243,48260334.0,57174.0,18.633,0.022,42.350122,-73.024112
1244,6345196.0,70886.0,2.45,0.027,42.118094,-73.257497
1245,72481256.0,2048210.0,27.985,0.791,42.186893,-73.223105
1247,136067563.0,1474691.0,52.536,0.569,42.698526,-73.0843
1253,47370578.0,1047605.0,18.29,0.404,42.206683,-73.113214
1254,37764321.0,148218.0,14.581,0.057,42.382019,-73.365492
1255,134222455.0,2914729.0,51.824,1.125,42.107496,-73.118607
1256,92878793.0,452282.0,35.861,0.175,42.594166,-73.02232
1257,93810157.0,2222467.0,36.22,0.858,42.085244,-73.367483
1258,66892284.0,399783.0,25.827,0.154,42.10928,-73.462886
1259,65561659.0,2041637.0,25.313,0.788,42.075469,-73.234376
1260,6503634.0,101867.0,2.511,0.039,42.295696,-73.342543
1262,31175833.0,2127512.0,12.037,0.821,42.292202,-73.319209
1264,29375249.0,90081.0,11.342,0.035,42.23159,-73.202428
1266,67478485.0,780826.0,26.054,0.301,42.312354,-73.388044
1267,141208669.0,342264.0,54.521,0.132,42.671617,-73.246981
1270,82502023.0,420999.0,31.854,0.163,42.515272,-73.031166
1301,66034130.0,1397303.0,25.496,0.54,42.626761,-72.60153
1330,86289951.0,631865.0,33.317,0.244,42.513947,-72.821517
1331,137853123.0,3588216.0,53.225,1.385,42.562408,-72.19108
1337,96461580.0,158967.0,37.244,0.061,42.689308,-72.582249
1338,8939561.0,12299.0,3.452,0.005,42.572604,-72.824306
1339,142261831.0,627962.0,54.928,0.242,42.603776,-72.889644
1340,113408743.0,665699.0,43.787,0.257,42.694731,-72.710956
1341,92494679.0,446652.0,35.712,0.172,42.496937,-72.709414
1342,46225730.0,2181543.0,17.848,0.842,42.543889,-72.609458
1343,12606820.0,94167.0,4.868,0.036,42.657625,-72.978933
1344,35252177.0,1378696.0,13.611,0.532,42.613418,-72.426428
1346,55312655.0,95459.0,21.356,0.037,42.693268,-72.823116
1347,1497726.0,221070.0,0.578,0.085,42.559294,-72.518753
1349,19913665.0,548465.0,7.689,0.212,42.563061,-72.482115
1350,27739754.0,290998.0,10.71,0.112,42.727772,-72.985346
1351,54184370.0,1126535.0,20.921,0.435,42.53988,-72.521689
1354,35664112.0,2664234.0,13.77,1.029,42.624101,-72.508607
1355,122669023.0,35757840.0,47.363,13.806,42.458551,-72.327191
1360,88740952.0,2814933.0,34.263,1.087,42.677091,-72.453876
1364,101615809.0,2843803.0,39.234,1.098,42.605437,-72.292074
1366,104578990.0,1454150.0,40.378,0.561,42.475621,-72.192468
1367,68716295.0,1772428.0,26.532,0.684,42.695532,-72.909148
1368,108362244.0,1836500.0,41.839,0.709,42.679456,-72.176935
1370,129008495.0,1466298.0,49.81,0.566,42.593376,-72.726927
1373,62597988.0,1469902.0,24.169,0.568,42.475481,-72.615403
1375,36831455.0,1348186.0,14.221,0.521,42.466691,-72.546751
1376,7142833.0,1472747.0,2.758,0.569,42.59528,-72.555002
1378,88126714.0,814990.0,34.026,0.315,42.673533,-72.353213
1379,78225279.0,969191.0,30.203,0.374,42.55631,-72.407148
1420,78529495.0,1773646.0,30.32,0.685,42.584925,-71.816862
1430,95694905.0,6792336.0,36.948,2.623,42.657005,-71.923442
1431,61290097.0,1000255.0,23.664,0.386,42.676293,-71.832523
1432,21910115.0,1240734.0,8.46,0.479,42.564663,-71.567298
1434,13669084.0,401234.0,5.278,0.155,42.538903,-71.612027
1436,24837851.0,512349.0,9.59,0.198,42.602059,-72.087015
1438,1403966.0,48433.0,0.542,0.019,42.562243,-72.031402
1440,62245175.0,2514727.0,24.033,0.971,42.588337,-71.986069
1450,84887942.0,2590936.0,32.775,1.0,42.61176,-71.565269
1451,49574292.0,1669980.0,19.141,0.645,42.501908,-71.568201
1452,106327332.0,2406515.0,41.053,0.929,42.489598,-72.002878
1453,73761032.0,1356772.0,28.479,0.524,42.519967,-71.763319
1460,42773951.0,2574959.0,16.515,0.994,42.535931,-71.490569
1462,68442649.0,3418284.0,26.426,1.32,42.582607,-71.720464
1463,58471591.0,1548500.0,22.576,0.598,42.670643,-71.602858
1464,38804944.0,201617.0,14.983,0.078,42.573654,-71.640986
1467,4891512.0,38884.0,1.889,0.015,42.489646,-71.609577
1468,55435947.0,697085.0,21.404,0.269,42.542767,-72.068345
1469,58987947.0,606711.0,22.775,0.234,42.664828,-71.695087
1473,91788815.0,4700075.0,35.44,1.815,42.5546,-71.90544
1474,25720066.0,78185.0,9.931,0.03,42.669685,-71.752751
1475,110974737.0,2713725.0,42.848,1.048,42.66816,-72.055644
1501,40042740.0,2404899.0,15.461,0.929,42.198708,-71.846006
1503,33599590.0,524072.0,12.973,0.202,42.384929,-71.633889
1504,28774220.0,825565.0,11.11,0.319,42.039991,-71.532406
1505,41586648.0,9557756.0,16.057,3.69,42.355049,-71.716157
1506,40216388.0,2734658.0,15.528,1.056,42.180788,-72.107891
1507,109244211.0,4178897.0,42.179,1.613,42.133935,-71.968025
1510,14642352.0,4176666.0,5.653,1.613,42.411887,-71.690005
1515,25570219.0,1427831.0,9.873,0.551,42.209682,-72.040178
1516,95233279.0,4020460.0,36.77,1.552,42.053072,-71.752241
1518,23006295.0,1928708.0,8.883,0.745,42.127477,-72.118818
1519,28262682.0,279339.0,10.912,0.108,42.203404,-71.679739
1520,46830019.0,1794650.0,18.081,0.693,42.336372,-71.850626
1521,31821357.0,1990946.0,12.286,0.769,42.046813,-72.180135
